epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,16967.5,0.6353,0.87701,1.01098,0.89172,0.51667,0.55516,0.35154,1.41588,2.3595,1.8747,0.000429253,0.000429253,0.000429253
77,17186.7,0.65242,0.77385,0.99495,0.89172,0.51667,0.55516,0.35154,1.41588,2.3595,1.8747,0.000412749,0.000412749,0.000412749
78,17464.3,0.70012,0.83574,1.06581,0.92578,0.51667,0.55209,0.35033,1.40717,2.32606,1.92787,0.000396246,0.000396246,0.000396246
79,17663.7,0.59592,0.73438,0.98795,0.92578,0.51667,0.55209,0.35033,1.40717,2.32606,1.92787,0.000379743,0.000379743,0.000379743
80,17930.5,0.6503,0.76132,0.97317,0.92444,0.51667,0.55517,0.34184,1.44205,2.37457,1.90489,0.000363239,0.000363239,0.000363239
81,18242,0.59755,0.76366,0.97954,0.92444,0.51667,0.55517,0.34184,1.44205,2.37457,1.90489,0.000346736,0.000346736,0.000346736
82,18656.1,0.60646,0.73833,0.97,0.93542,0.51667,0.56317,0.31882,1.5938,2.29946,2.10251,0.000330233,0.000330233,0.000330233
83,18860.3,0.61275,0.8173,0.96918,0.93542,0.51667,0.56317,0.31882,1.5938,2.29946,2.10251,0.000313729,0.000313729,0.000313729
84,19069.8,0.60682,0.7083,0.97665,0.96284,0.51252,0.57517,0.30783,1.64428,2.35189,2.12417,0.000297226,0.000297226,0.000297226
85,19376.8,0.62226,0.7455,0.99583,0.96284,0.51252,0.57517,0.30783,1.64428,2.35189,2.12417,0.000280723,0.000280723,0.000280723
86,19590.9,0.55217,0.7261,0.97649,0.96392,0.51113,0.58375,0.32161,1.65719,2.36155,2.15185,0.00026422,0.00026422,0.00026422
87,19764.4,0.61749,0.73048,0.95616,0.96392,0.51113,0.58375,0.32161,1.65719,2.36155,2.15185,0.000247716,0.000247716,0.000247716
88,19917.4,0.6365,0.76319,0.99458,0.90515,0.6,0.59517,0.32656,1.66928,2.31111,2.15658,0.000231213,0.000231213,0.000231213
89,20128.4,0.52242,0.71437,0.95708,0.90515,0.6,0.59517,0.32656,1.66928,2.31111,2.15658,0.00021471,0.00021471,0.00021471
90,20433,0.68678,0.74338,1.00772,0.9233,0.6,0.59518,0.33305,1.66752,2.27484,2.1616,0.000198206,0.000198206,0.000198206
91,20651.5,0.53798,0.95109,0.88562,0.9233,0.6,0.59518,0.33305,1.66752,2.27484,2.1616,0.000181703,0.000181703,0.000181703
92,20865.1,0.50765,0.89016,0.91655,0.95735,0.6,0.59518,0.33361,1.63664,2.23024,2.12705,0.0001652,0.0001652,0.0001652
93,21075.8,0.4619,0.85486,0.91299,0.95735,0.6,0.59518,0.33361,1.63664,2.23024,2.12705,0.000148696,0.000148696,0.000148696
94,21255.4,0.53608,0.89126,0.92522,0.96348,0.6,0.59518,0.35487,1.61316,2.22492,2.1189,0.000132193,0.000132193,0.000132193
95,21488.3,0.51572,0.86833,0.95012,0.96348,0.6,0.59518,0.35487,1.61316,2.22492,2.1189,0.00011569,0.00011569,0.00011569
96,21696,0.52763,0.86422,0.88069,0.96897,0.6,0.59518,0.34642,1.60495,2.21486,2.11964,9.91865e-05,9.91865e-05,9.91865e-05
97,21883.7,0.51054,0.81718,0.93768,0.96897,0.6,0.59518,0.34642,1.60495,2.21486,2.11964,8.26832e-05,8.26832e-05,8.26832e-05
98,22139.4,0.48424,0.86588,0.94545,0.96993,0.6,0.59518,0.35017,1.60973,2.22866,2.09879,6.61799e-05,6.61799e-05,6.61799e-05
99,22315.9,0.49298,0.84663,0.88544,0.96993,0.6,0.59518,0.35017,1.60973,2.22866,2.09879,4.96766e-05,4.96766e-05,4.96766e-05
100,22500.4,0.53098,0.90014,0.93756,0.96385,0.6,0.59518,0.35138,1.60795,2.25137,2.05627,3.31733e-05,3.31733e-05,3.31733e-05
